2022-07-13 18:26:51,110 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:27:04,230 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:27:13,840 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:27:23,440 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:27:36,588 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:27:46,322 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:27:55,961 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:28:09,187 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:28:18,698 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:28:28,386 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:28:41,526 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:28:51,082 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:29:00,733 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:29:13,972 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:29:23,599 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:29:33,397 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:29:46,623 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:29:56,221 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:30:05,925 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:30:21,081 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:30:35,378 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:30:47,076 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:31:05,615 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:31:19,839 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:31:33,735 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:31:53,714 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:32:08,362 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:32:23,095 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:32:42,089 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:32:55,525 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:33:09,174 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:33:27,158 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:33:39,756 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:33:53,315 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:34:10,784 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:34:22,634 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:34:35,019 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:34:52,323 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:35:05,004 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:35:17,728 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:35:34,935 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:35:47,445 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:36:00,670 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:36:18,102 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:36:31,027 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:36:44,694 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:37:03,755 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:37:17,487 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:37:30,838 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:37:48,769 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:38:01,488 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:38:14,633 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:38:31,752 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:38:44,719 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:38:57,503 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:39:16,557 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:39:30,311 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:39:44,246 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:40:02,023 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:40:14,950 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:40:27,757 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:40:44,912 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:40:57,776 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:41:10,517 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:41:31,000 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:41:44,453 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:41:58,302 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:42:15,722 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:42:28,930 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:42:41,630 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:42:58,678 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:43:12,008 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:43:25,845 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:43:44,970 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
