2022-07-02 10:30:11,969 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:17,001 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:18,701 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:25,212 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:26,737 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:28,252 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:33,787 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:35,250 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:36,800 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:42,274 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:43,685 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:45,254 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:51,400 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:52,895 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:54,521 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:00,053 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:01,593 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:03,079 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:08,758 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:10,401 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:12,170 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:17,853 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:19,491 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:21,061 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:26,724 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:28,179 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:29,623 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:35,413 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:36,928 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:38,547 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:44,504 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:45,996 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:47,606 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:53,357 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:54,906 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:31:56,522 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:02,529 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:04,190 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:05,746 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:11,114 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:12,620 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:14,193 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:19,910 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:21,447 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:23,325 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:32:24,762 INFO    MainThread:40699 [wandb_run.py:_atexit_cleanup():1867] got exitcode: 255
2022-07-02 10:32:24,763 INFO    MainThread:40699 [wandb_run.py:_restore():1839] restore
